id,price,brand,year,title_status,mileage,color,state,region,country
1567,31500,ford,2019,clean vehicle,23222,black,pennsylvania,Northeast,usa
1568,13500,ford,2016,clean vehicle,87686,white,colorado,West,usa
1569,7500,ford,2014,clean vehicle,162918,blue,texas,South,usa
1570,650,ford,2017,salvage insurance,0,black,california,West,usa
1571,22800,ford,2019,clean vehicle,32526,white,pennsylvania,Northeast,usa
1572,11300,ford,2016,clean vehicle,69402,white,colorado,West,usa
1573,32700,ford,2014,clean vehicle,76336,white,texas,South,usa
1574,1350,ford,2012,salvage insurance,163334,white,virginia,South,usa
1575,21900,ford,2019,clean vehicle,47628,white,pennsylvania,Northeast,usa
1576,11700,ford,2014,clean vehicle,135283,orange,texas,South,usa
1577,6500,ford,2014,salvage insurance,147903,white,georgia,South,usa
1578,9800,ford,2014,clean vehicle,74181,black,colorado,West,usa
1579,11000,ford,2014,clean vehicle,77386,white,texas,South,usa
1580,1150,ford,2014,salvage insurance,123349,red,georgia,South,usa
1581,13000,ford,2013,clean vehicle,136661,white,colorado,West,usa
1582,5500,ford,2013,clean vehicle,109600,silver,texas,South,usa
1583,6000,ford,2014,salvage insurance,125369,black,massachusetts,Northeast,usa
1584,11200,ford,2013,clean vehicle,122861,blue,texas,South,usa
1585,5000,ford,2016,salvage insurance,110826,gray,massachusetts,Northeast,usa
1586,23400,ford,2019,clean vehicle,12198,white,missouri,Midwest,usa
1587,13500,ford,2019,salvage insurance,45512,red,massachusetts,Northeast,usa
1588,22900,ford,2019,clean vehicle,15656,white,missouri,Midwest,usa
1589,20000,ford,2020,clean vehicle,23984,silver,virginia,South,usa
1590,22900,ford,2019,clean vehicle,15821,white,missouri,Midwest,usa
1591,27000,ford,2020,clean vehicle,12748,red,virginia,South,usa
1592,54500,ford,2019,clean vehicle,9865,blue,oklahoma,South,usa
1593,20600,ford,2020,clean vehicle,17858,black,virginia,South,usa
1594,23500,ford,2019,clean vehicle,6711,white,missouri,Midwest,usa
1595,53000,ford,2019,clean vehicle,14939,blue,oklahoma,South,usa
1596,23600,ford,2019,clean vehicle,15820,white,missouri,Midwest,usa
